stn_nm,stn_nm_chc,stn_nm_eng,stn_nm_chn,stn_nm_jpn
서울역,-,Seoul Station,首尔站,ソウルヨク
시청,市 廳,City Hall,市厅,シチョン
종각,鐘 閣,Jonggak,钟阁,チョンガク
종로3가,鍾路 3街,Jongno 3(sam)ga,钟路三街,チョンノサムガ
종로5가,鍾路 5街,Jongno 5(o)ga,钟路五街,チョンノオガ
동대문,東 大 門,Dongdaemun,东大门,トンデムン
동묘앞,東 廟 앞,Dongmyo,东庙,トンミョアプ
신설동,新 設 洞,Sinseoldong,新设洞,シンソルトン
제기동,祭 基 洞,Jegidong,祭基洞,チェギドン
청량리(서울시립대입구),淸 凉 里(서울市立大入口),Cheongnyangni(University of Seoul),清凉里(首尔市立大学),チョンニャンニ
시 청,市 廳,City Hall,市厅,シチョン
을지로입구,乙支路入口,Euljiro 1(il)ga,乙支路入口,ウルチロイック
을지로 3가,乙支路 3街,Euljiro 3(sam)ga,乙支路三街,ウルチロサムガ
을지로 4가,乙支路 4街,Euljiro 4(sa)ga,乙支路四街,ウルチロサガ
동대문역사문화공원(DDP),東大門歷史文化公園(DDP),Dongdaemun History & Culture Park(DDP),东大门历史文化公园(DDP),トンデムンヨクサムンファゴンウォン(DDP)
신 당,新 堂,Sindang,新堂,シンダン
상왕십리,上 往 十 里,Sangwangsimni,上往十里,サンワンシムニ
왕 십 리(성동구청),往十里(城東區廳),Wangsimni(Seongdong-gu Office),往十里(城东区厅),ワンシムニ(ソンドン区庁)
한 양 대,漢 陽 大,Hanyang Univ.,汉阳大学,ハニャンデ
뚝 섬,-,Ttukseom,纛岛,トゥッソム
성 수,聖 水,Seongsu,圣水,ソンス
건대입구,建大入口,Konkuk Univ.,建国大学,コンデイック
구 의(광진구청),九 宜(廣津區廳),Guui (Gwangjin-gu Office),九宜(广津区厅),クイ
강변(동서울터미널),江 邊(東서울터미널),Gangbyeon (Dongseoul Bus Terminal),江边(东首尔客运站),カンビョン
잠실나루,蠶 室 나 루,Jamsillaru,蚕室渡口,チャムシルナル
잠실(송파구청),蠶 室(松坡區廳),Jamsil (Songpa-gu Office),蚕室(松坡区厅),チャムシル
잠실새내,-,Jamsilsaenae,蚕室新川,チャムシルセネ
종합운동장,綜合運動場,Sports Complex,综合运动场,チョンハブンドンジャン
삼성(무역센터),三 成(貿易센터),Samseong (World Trade Center Seoul),三成(会展中心),サムソン(三成)
선릉,宣 陵,Seolleung,宣陵,ソンルン
역삼,驛 三,Yeoksam,驿三,ヨッサム
강남,江 南,Gangnam,江南,カンナム
"교대(법원, 검찰청)",敎 大(法院․檢察廳),Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),首尔教育大学(法院·检察厅),キョデ
서초,瑞 草,Seocho,瑞草,ソチョ
방배,方 背,Bangbae,方背,パンベ
사당,舍 堂,Sadang,舍堂,サダン
낙성대(강감찬),落星垈(姜邯贊),Nakseongdae(Ganggamchan),落星垈(姜邯赞),ナクソンデ(カン・ガムチャン)
서울대입구(관악구청),서울大入口(冠岳區廳),Seoul Nat‘l Univ. (Gwanak-gu Office),首尔大学(冠岳区厅),ソウルデイック
봉천,奉 天,Bongcheon,奉天,ポンチョン
신림,新 林,Sillim,新林,シンリム
신대방,新 大 方,Sindaebang,新大方,シンデバン
구로디지털단지,九老디지털團地,Guro Digital Complex,九老数码园区,クロ・デジタルダンジ
대림(구로구청),大 林(九老區廳),Daerim (Guro-gu Office),大林(九老区厅),テリム
신도림,新 道 林,Sindorim,新道林,シンドリム
문래,文 來,Mullae,文来,ムンレ
영등포구청,永登浦區廳,Yeongdeungpo-gu Office,永登浦区厅,ヨンドゥンポグチョン
당산,堂 山,Dangsan,堂山,タンサン
합정,合 井,Hapjeong,合井,ハプチョン
홍대입구,弘 大 入 口,Hongik Univ.,弘益大学,ホンデイック
신촌(지하),新 村,Sinchon,新村,シンチョン(新村)
이대,梨 大,Ewha Womans Univ.,梨花女子大学,イデ
아현,阿 峴,Ahyeon,阿岘,アヒョン
충정로(경기대입구),忠 正 路(京畿大入口),Chungjeongno (Kyonggi Univ.),忠正路(京畿大学),チュンジョンノ
용답,龍 踏,Yongdap,龙踏,ヨンダプ
신답,新 踏,Sindap,新踏,シンダプ
용두(동대문구청),龍 頭(東大門區廳),Yongdu (Dongdaemun-gu Office),龙头(东大门区厅),ヨンドゥ
신설동,新 設 洞,Sinseoldong,新设洞,シンソルトン
도림천,道 林 川,Dorimcheon,道林川,トリムチョン
양천구청,陽 川 區 廳,Yangcheon-gu Office,阳川区厅,ヤンチョングチョン
신정네거리,新亭네거리,Sinjeongnegeori,新亭十字路口,シンジョンネゴリ
까치산,까치山,Kkachisan,喜鹊山,カチサン
지축,紙 木丑,Jichuk,纸杻,チチュク
구파발,舊 把 撥,Gupabal,旧把拨,クパバル
